project,commit_url,files_modified,found_in_both,vuln_commit,vuln_lines_added,vuln_lines_deleted,fix_commit,fix_lines_added,fix_lines_deleted,cve,cwe
edgeless-mariadb,https://github.com/edgelesssys/edgeless-mariadb/commit/91d5fffa0796b8208c3d6633c8f296da8914af4d,extra/mariabackup/ds_compress.cc,No,fde99e006d0947977f196854dd1f5a2eaa030c20,1,0,91d5fffa0796b8208c3d6633c8f296da8914af4d,11,12,,
edk2,https://github.com/tianocore/edk2/commit/0a0d5296e448fc350de1594c49b9c0deff7fad60,UefiCpuPkg/CpuMpPei/CpuMpPei.h;UefiCpuPkg/CpuMpPei/CpuMpPei.inf;UefiCpuPkg/CpuMpPei/CpuMpPei.c;UefiCpuPkg/CpuMpPei/CpuPaging.c,No,e09b6b5953db38db87b84c80a2e95a82a1c91020,6,2,0a0d5296e448fc350de1594c49b9c0deff7fad60,937,17,,
edk2,https://github.com/tianocore/edk2/commit/26442d11e620a9e81c019a24a4ff38441c64ba10,CryptoPkg/Library/BaseCryptLib/Pk/CryptAuthenticode.c,No,f82b827c92f77eac8debdce6ef9689d156771871,9,3,26442d11e620a9e81c019a24a4ff38441c64ba10,2,2,CVE-2019-14584,CWE-476
edk2,https://github.com/tianocore/edk2/commit/89f75aa04a97293a8ed9db2a90851a5053730cf5,MdeModulePkg/Universal/Disk/UdfDxe/FileSystemOperations.c,Yes,5c0748f43f4e1cc15fdd0be64a764eacd7df92f6,50,4,89f75aa04a97293a8ed9db2a90851a5053730cf5,4,0,,
edk2,https://github.com/tianocore/edk2/commit/3b30351b75d70ea65701ac999875fbb81a89a5ca,MdeModulePkg/Universal/Disk/UdfDxe/FileSystemOperations.c;MdeModulePkg/Universal/Disk/UdfDxe/Udf.h,Yes,89f75aa04a97293a8ed9db2a90851a5053730cf5,4,0,3b30351b75d70ea65701ac999875fbb81a89a5ca,23,1,,
edk2,https://github.com/tianocore/edk2/commit/4df8f5bfa28b8b881e506437e8f08d92c1a00370,MdeModulePkg/Universal/Disk/PartitionDxe/Udf.c,No,4a723d3d7fd1cbbc28c92f14361761831ad27bab,12,8,4df8f5bfa28b8b881e506437e8f08d92c1a00370,29,0,,
edk2,https://github.com/tianocore/edk2/commit/f1d78c489a39971b5aac5d2fc8a39bfa925c3c5d,MdeModulePkg/Universal/DisplayEngineDxe/ProcessOptions.c,No,764e8ba1389a617639d79d2c4f0d53f4ea4a7387,8,1,f1d78c489a39971b5aac5d2fc8a39bfa925c3c5d,6,2,CVE-2019-14558,NVD-CWE-Other
empathy,http://git.gnome.org/browse/empathy/commit/?id=739aca418457de752be13721218aaebc74bd9d36,libempathy-gtk/empathy-theme-adium.c,No,4be40f870291191e95035cd08b8f0733c9af1828,1,1,739aca418457de752be13721218aaebc74bd9d36,5,2,,
empathy,http://git.gnome.org/browse/empathy/commit/?id=15a4eec2f156c4f60398a9d842279203f475ed89,libempathy-gtk/empathy-theme-adium.c,No,27831472d751867c3f2ff1f4f26087c75c65776b,38,5,15a4eec2f156c4f60398a9d842279203f475ed89,3,3,,
engine,https://github.com/gost-engine/engine/commit/c6655a0b620a3e31f085cc906f8073fe81b2fad3,e_gost_err.h;e_gost_err.c;gost_ec_keyx.c,No,ee1986c58ccb81d1224d09a7cb56b2043fa6a2e8,14,14,c6655a0b620a3e31f085cc906f8073fe81b2fad3,22,1,CVE-2022-29242,CWE-120
engine,https://github.com/gost-engine/engine/commit/7df766124f87768b43b9e8947c5a01e17545772c,gost_ec_keyx.c,Yes,c6655a0b620a3e31f085cc906f8073fe81b2fad3,22,1,7df766124f87768b43b9e8947c5a01e17545772c,21,1,CVE-2022-29242,CWE-787
envoy,https://github.com/envoyproxy/envoy/commit/e9f936d85dc1edc34fabd0a1725ec180f2316353,source/extensions/transport_sockets/tls/cert_validator/cert_validator.h;test/extensions/transport_sockets/tls/ssl_socket_test.cc;envoy/ssl/certificate_validation_context_config.h;source/extensions/transport_sockets/tls/cert_validator/default_validator.cc,No,9371333230b1a6e1be2eccf4868771e11af6253a,62,0,e9f936d85dc1edc34fabd0a1725ec180f2316353,196,1,CVE-2022-21654,CWE-362
